question_id,answer_id,origin,min_max,mean,z-score,prob,q_sim,b_score,norm_b_score,new_score,,
423379,423596,5064,1.00000 ,0.96546 ,6.06774 ,-1.74926 ,0.20380 ,-0.35650 ,-0.03707 ,,x_min,-2
423379,74636428,-2,0.00000 ,-0.03454 ,-0.21707 ,,,,0.33455 ,,x_max,5064
423379,423668,885,0.17509 ,0.14055 ,0.88333 ,-1.70820 ,0.20380 ,-0.34813 ,-0.02834 ,,x_mean,172.975
423379,71883300,0,0.00039 ,-0.03414 ,-0.21459 ,-1.81429 ,0.20380 ,-0.36975 ,-0.05088 ,,x_std,806.0703503
423379,71663780,9,0.00217 ,-0.03237 ,-0.20343 ,-1.72921 ,0.20380 ,-0.35241 ,-0.03281 ,,,
423379,71074895,1,0.00059 ,-0.03395 ,-0.21335 ,-1.75040 ,0.20380 ,-0.35673 ,-0.03731 ,,b_min,-1.058957818
423379,67339244,5,0.00138 ,-0.03316 ,-0.20839 ,-1.82878 ,0.20380 ,-0.37270 ,-0.05396 ,,b_max,-0.099648478
423379,423401,270,0.05369 ,0.01915 ,0.12037 ,-1.71001 ,0.20380 ,-0.34850 ,-0.02873 ,,b_mean,-0.320935025
423379,27287648,33,0.00691 ,-0.02763 ,-0.17365 ,-1.87046 ,0.20380 ,-0.38120 ,-0.06282 ,,,
423379,28329600,30,0.00632 ,-0.02822 ,-0.17737 ,-2.19722 ,0.20380 ,-0.44779 ,-0.13224 ,,,
423379,63629668,7,0.00178 ,-0.03276 ,-0.20591 ,-1.73201 ,0.20380 ,-0.35298 ,-0.03340 ,,,
423379,61992762,8,0.00197 ,-0.03257 ,-0.20467 ,-1.73414 ,0.20380 ,-0.35341 ,-0.03386 ,,,
423379,34559513,68,0.01382 ,-0.02072 ,-0.13023 ,-1.70555 ,0.20380 ,-0.34759 ,-0.02778 ,,,
423379,46058078,9,0.00217 ,-0.03237 ,-0.20343 ,-1.74760 ,0.20380 ,-0.35616 ,-0.03672 ,,,
423379,33320055,20,0.00434 ,-0.03020 ,-0.18978 ,-1.81201 ,0.20380 ,-0.36928 ,-0.05040 ,,,
423379,19347254,35,0.00730 ,-0.02724 ,-0.17117 ,-1.76360 ,0.20380 ,-0.35942 ,-0.04011 ,,,
423379,45769568,8,0.00197 ,-0.03257 ,-0.20467 ,-1.77274 ,0.20380 ,-0.36128 ,-0.04206 ,,,
423379,43285234,23,0.00493 ,-0.02960 ,-0.18606 ,-2.03027 ,0.20380 ,-0.41376 ,-0.09677 ,,,
423379,423641,74,0.01500 ,-0.01954 ,-0.12279 ,-1.72701 ,0.20380 ,-0.35196 ,-0.03234 ,,,
423379,19151605,41,0.00849 ,-0.02605 ,-0.16373 ,-1.77196 ,0.20380 ,-0.36112 ,-0.04189 ,,,
423379,34664752,17,0.00375 ,-0.03079 ,-0.19350 ,-1.80908 ,0.20380 ,-0.36869 ,-0.04978 ,,,
423379,27580376,30,0.00632 ,-0.02822 ,-0.17737 ,-1.90751 ,0.20380 ,-0.38875 ,-0.07069 ,,,
423379,24572187,58,0.01184 ,-0.02270 ,-0.14264 ,-1.71956 ,0.20380 ,-0.35044 ,-0.03076 ,,,
423379,6664227,115,0.02310 ,-0.01144 ,-0.07192 ,-1.74116 ,0.20380 ,-0.35485 ,-0.03535 ,,,
423379,427818,27,0.00572 ,-0.02881 ,-0.18109 ,-1.72684 ,0.20380 ,-0.35193 ,-0.03231 ,,,
75200246,75200331,0,0.00039 ,-0.03414 ,-0.21459 ,-2.00531 ,0.18429 ,-0.36956 ,-0.05069 ,,,
75048481,75048571,1,0.00059 ,-0.03395 ,-0.21335 ,-2.24797 ,0.05657 ,-0.12717 ,0.20199 ,,,
75020080,75020199,1,0.00059 ,-0.03395 ,-0.21335 ,-2.55695 ,0.41415 ,-1.05896 ,-0.76933 ,,,
62212489,62212545,1,0.00059 ,-0.03395 ,-0.21335 ,-2.25976 ,0.12565 ,-0.28393 ,0.03858 ,,,
62212489,62212528,1,0.00059 ,-0.03395 ,-0.21335 ,-1.87217 ,0.12565 ,-0.23523 ,0.08934 ,,,
72922119,72922552,0,0.00039 ,-0.03414 ,-0.21459 ,-2.14110 ,0.08901 ,-0.19058 ,0.13588 ,,,
72922119,72922161,0,0.00039 ,-0.03414 ,-0.21459 ,-2.14056 ,0.08901 ,-0.19054 ,0.13593 ,,,
14051916,14052167,39,0.00809 ,-0.02645 ,-0.16621 ,-1.82011 ,0.05695 ,-0.10365 ,0.22650 ,,,
14051916,14053178,5,0.00138 ,-0.03316 ,-0.20839 ,-1.74977 ,0.05695 ,-0.09965 ,0.23067 ,,,
14051916,14053041,14,0.00316 ,-0.03138 ,-0.19722 ,-1.79009 ,0.05695 ,-0.10194 ,0.22828 ,,,
14051916,14051943,7,0.00178 ,-0.03276 ,-0.20591 ,-1.81666 ,0.05695 ,-0.10346 ,0.22670 ,,,
14051916,14051937,15,0.00336 ,-0.03118 ,-0.19598 ,-1.81910 ,0.05695 ,-0.10360 ,0.22656 ,,,
72688521,72690281,0,0.00039 ,-0.03414 ,-0.21459 ,-1.99631 ,0.25825 ,-0.51555 ,-0.20287 ,,,
62099060,62099139,0,0.00039 ,-0.03414 ,-0.21459 ,-1.79057 ,0.07302 ,-0.13074 ,0.19826 ,,,
62099060,62099136,0,0.00039 ,-0.03414 ,-0.21459 ,-1.73393 ,0.07302 ,-0.12661 ,0.20257 ,,,
